imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt0302886,Old School,2003,5 nominations total,"$75,585,093",7.0,54,"253,462",True,,2025-10-27T14:11:17.782741
tt0303714,Barbershop,2002,1 win & 17 nominations total,"$75,782,105",6.3,66,"34,346",True,,2025-10-27T14:11:18.203586
tt0303816,Cabin Fever,2002,3 wins & 12 nominations total,"$21,158,188",5.6,56,"86,133",True,,2025-10-27T14:11:18.610822
tt0303933,Drumline,2002,13 nominations total,"$56,399,184",6.0,63,"37,118",True,,2025-10-27T14:11:19.022311
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,Nominated for 2 Oscars. 17 wins & 56 nominations total,"$250,105,651",7.9,82,"742,694",True,,2025-10-27T14:11:19.436288
tt0304415,Mona Lisa Smile,2003,6 nominations total,"$63,860,942",6.6,45,"97,171",True,,2025-10-27T14:11:19.849834
tt0304669,The Santa Clause 2,2002,1 win & 3 nominations total,"$139,236,327",5.8,48,"67,315",True,,2025-10-27T14:11:20.253116
tt0305224,Anger Management,2003,2 wins & 4 nominations total,"$135,645,823",6.3,52,"237,416",True,,2025-10-27T14:11:20.670370
tt0305357,Charlie's Angels: Full Throttle,2003,9 wins & 21 nominations total,"$100,830,111",4.9,48,"136,835",True,,2025-10-27T14:11:21.079454
tt0305396,The Crocodile Hunter: Collision Course,2002,1 win & 1 nomination total,"$28,442,574",5.4,50,"8,353",True,,2025-10-27T14:11:21.488814
tt0305632,Fascination,2004,N/A,"$16,670",3.9,13,"1,590",True,,2025-10-27T14:11:21.895186
tt0305669,Bringing Down the House,2003,4 wins & 13 nominations total,"$132,716,677",5.6,39,"40,122",True,,2025-10-27T14:11:22.300385
tt0305711,Just Married,2003,9 nominations total,"$56,127,162",5.5,28,"76,708",True,,2025-10-27T14:11:22.704570
tt0306047,Scary Movie 3,2003,2 wins & 4 nominations total,"$110,003,217",5.6,49,"167,111",True,,2025-10-27T14:11:23.121478
