imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at
tt2357129,Jobs,2013,2 nominations total,"$16,131,410",6.0,44,"106,036",True,,2025-10-29T13:48:35.659262
tt2357291,Rio 2,2014,Nominated for 1 BAFTA Award2 wins & 24 nominations total,"$131,538,435",6.3,49,"108,577",True,,2025-10-29T13:48:36.083932
tt2358925,Unfinished Business,2015,1 nomination total,"$10,219,501",5.4,32,"35,928",True,,2025-10-29T13:48:36.506050
tt2361509,The Intern,2015,1 win & 9 nominations total,"$75,764,672",7.1,51,"298,924",True,,2025-10-29T13:48:36.929898
tt2364841,Runner Runner,2013,2 nominations total,"$19,316,646",5.6,36,"66,392",True,,2025-10-29T13:48:37.370318
tt2364897,The Disappointments Room,2016,1 nomination total,"$2,423,468",3.9,31,"11,031",True,,2025-10-29T13:48:37.792877
tt2369135,Need for Speed,2014,1 win & 6 nominations total,"$43,577,636",6.4,39,"184,853",True,,2025-10-29T13:48:38.226783
tt2377322,Deliver Us from Evil,2014,2 wins & 4 nominations total,"$30,577,122",6.2,40,"89,505",True,,2025-10-29T13:48:38.651937
tt2379713,Spectre,2015,Won 1 Oscar. 8 wins & 37 nominations total,"$200,074,609",6.8,60,"486,537",True,,2025-10-29T13:48:39.077908
tt2381249,Mission: Impossible - Rogue Nation,2015,6 wins & 26 nominations total,"$195,042,377",7.4,75,"437,807",True,,2025-10-29T13:48:39.511245
tt2381941,Focus,2015,3 nominations total,"$53,862,963",6.6,56,"289,889",True,,2025-10-29T13:48:39.946498
tt2381991,The Huntsman: Winter's War,2016,16 nominations total,"$48,390,190",6.1,35,"124,688",True,,2025-10-29T13:48:40.374657
tt2382420,Split: A Deeper Divide,2012,N/A,"$2,000",6.8,53,19,True,,2025-10-29T13:48:40.801577
