imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt0102753,Rambling Rose,1991,Nominated for 2 Oscars. 6 wins & 15 nominations total,"$6,266,621",6.5,N/A,"5,746",True,,2025-10-26T10:45:36.258725,6266621.0,0,1
tt0102782,Return to the Blue Lagoon,1991,6 nominations total,"$2,807,854",5.2,28,"22,148",True,,2025-10-26T10:45:36.745444,2807854.0,0,0
tt0102798,Robin Hood: Prince of Thieves,1991,Nominated for 1 Oscar. 16 wins & 25 nominations total,"$165,493,908",6.9,51,"217,258",True,,2025-10-26T10:45:37.205164,165493908.0,0,1
tt0102803,The Rocketeer,1991,2 wins & 6 nominations total,"$46,704,056",6.6,58,"64,748",True,,2025-10-26T10:45:37.621030,46704056.0,0,0
tt0102818,Run,1991,N/A,"$4,409,328",6.2,N/A,"3,343",True,,2025-10-26T10:45:38.046105,4409328.0,0,0
tt0102849,Scenes from a Mall,1991,N/A,"$9,563,393",5.4,N/A,"5,276",True,,2025-10-26T10:45:38.469520,9563393.0,0,0
tt0102898,Shakes the Clown,1991,1 nomination total,"$115,103",5.6,N/A,"5,971",True,,2025-10-26T10:45:38.924323,115103.0,0,0
tt0102926,The Silence of the Lambs,1991,Won 5 Oscars. 71 wins & 50 nominations total,"$130,742,922",8.6,86,"1,667,162",True,,2025-10-26T10:45:39.335596,130742922.0,1,0
tt0102943,Slacker,1990,1 win & 3 nominations,"$1,228,108",7.0,69,"24,059",True,,2025-10-26T10:45:39.797121,1228108.0,0,0
tt0102945,Sleeping with the Enemy,1991,2 wins & 4 nominations total,"$101,599,005",6.3,48,"67,552",True,,2025-10-26T10:45:40.250882,101599005.0,0,0
tt0103007,The Super,1991,1 nomination,"$11,000,863",5.7,N/A,"6,607",True,,2025-10-26T10:45:40.726531,11000863.0,0,0
tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,2 wins & 1 nomination total,"$78,656,813",6.0,45,"63,358",True,,2025-10-26T10:45:41.191243,78656813.0,0,0
tt0103064,Terminator 2: Judgment Day,1991,Won 4 Oscars. 39 wins & 33 nominations total,"$205,881,154",8.6,75,"1,254,827",True,,2025-10-26T10:45:41.614926,205881154.0,1,0
tt0103074,Thelma & Louise,1991,Won 1 Oscar. 24 wins & 52 nominations total,"$45,360,915",7.6,89,"186,074",True,,2025-10-26T10:45:42.049924,45360915.0,1,0
tt0103128,True Identity,1991,N/A,"$4,693,236",5.1,N/A,"1,345",True,,2025-10-26T10:45:42.527011,4693236.0,0,0
tt0103247,White Fang,1991,1 win total,"$34,793,160",6.7,62,"23,299",True,,2025-10-26T10:45:42.947975,34793160.0,0,0
tt0103594,1492: Conquest of Paradise,1992,2 nominations total,"$7,191,399",6.4,47,"34,388",True,,2025-10-26T10:45:43.409026,7191399.0,0,0
tt0103639,Aladdin,1992,Won 2 Oscars. 35 wins & 22 nominations total,"$217,350,219",8.0,86,"490,592",True,,2025-10-26T10:45:43.863145,217350219.0,1,0
tt0103644,Alien³,1992,Nominated for 1 Oscar. 5 wins & 25 nominations total,"$55,473,545",6.4,59,"345,876",True,,2025-10-26T10:45:44.283405,55473545.0,0,1
tt0103772,Basic Instinct,1992,Nominated for 2 Oscars. 6 wins & 23 nominations total,"$117,727,224",7.1,43,"237,054",True,,2025-10-26T10:45:44.726368,117727224.0,0,1
tt0103776,Batman Returns,1992,Nominated for 2 Oscars. 2 wins & 29 nominations total,"$162,924,631",7.1,68,"344,885",True,,2025-10-26T10:45:45.153609,162924631.0,0,1
tt0103859,Boomerang,1992,1 win & 8 nominations total,"$70,052,444",5.6,45,"32,560",True,,2025-10-26T10:45:45.623066,70052444.0,0,0
tt0103874,Dracula,1992,Won 3 Oscars. 25 wins & 25 nominations total,"$82,522,790",7.4,57,"261,085",True,,2025-10-26T10:45:46.040511,82522790.0,1,0
tt0103962,Christopher Columbus: The Discovery,1992,2 wins & 6 nominations total,"$8,251,071",4.4,N/A,"3,332",True,,2025-10-26T10:45:46.484224,8251071.0,0,0
tt0104070,Death Becomes Her,1992,Won 1 Oscar. 5 wins & 16 nominations total,"$58,422,650",6.7,56,"144,647",True,,2025-10-26T10:45:46.962885,58422650.0,1,0
tt0104231,Far and Away,1992,3 nominations total,"$58,883,840",6.6,49,"71,063",True,,2025-10-26T10:45:47.435216,58883840.0,0,0
tt0104257,A Few Good Men,1992,Nominated for 4 Oscars. 10 wins & 30 nominations total,"$141,340,178",7.7,62,"308,367",True,,2025-10-26T10:45:47.858535,141340178.0,0,1
tt0104438,Honeymoon in Vegas,1992,4 nominations total,"$35,208,854",5.9,63,"19,967",True,,2025-10-26T10:45:48.319565,35208854.0,0,0
tt0104691,The Last of the Mohicans,1992,Won 1 Oscar. 7 wins & 17 nominations total,"$75,505,856",7.6,76,"201,138",True,,2025-10-26T10:45:48.747944,75505856.0,1,0
tt0104692,The Lawnmower Man,1992,3 nominations total,"$32,100,816",5.4,42,"40,365",True,,2025-10-26T10:45:49.221651,32100816.0,0,0
tt0104694,A League of Their Own,1992,6 wins & 13 nominations total,"$107,533,928",7.4,69,"127,346",True,,2025-10-26T10:45:49.643646,107533928.0,0,0
tt0104714,Lethal Weapon 3,1992,3 wins & 4 nominations total,"$144,731,527",6.7,40,"185,968",True,,2025-10-26T10:45:50.094362,144731527.0,0,0
tt0104839,Medicine Man,1992,1 nomination,"$45,500,797",6.0,43,"25,157",True,,2025-10-26T10:45:50.577675,45500797.0,0,0
tt0104868,The Mighty Ducks,1992,2 nominations total,"$50,752,337",6.6,46,"74,219",True,,2025-10-26T10:45:51.013224,50752337.0,0,0
tt0104940,The Muppet Christmas Carol,1992,2 wins & 1 nomination total,"$27,381,507",7.8,64,"76,871",True,,2025-10-26T10:45:51.472461,27381507.0,0,0
tt0104990,Newsies,1992,1 win & 6 nominations total,"$2,819,485",6.9,46,"23,649",True,,2025-10-26T10:45:51.938259,2819485.0,0,0
tt0105112,Patriot Games,1992,1 win & 3 nominations total,"$83,351,587",6.8,64,"126,148",True,,2025-10-26T10:45:52.397255,83351587.0,0,0
tt0105121,The People Under the Stairs,1991,2 wins & 8 nominations total,"$24,204,154",6.4,57,"42,266",True,,2025-10-26T10:45:52.861491,24204154.0,0,0
tt0105130,Peter's Friends,1992,4 wins & 3 nominations,"$4,058,564",7.0,N/A,"12,338",True,,2025-10-26T10:45:53.281082,4058564.0,0,0
tt0105226,Red Rock West,1993,3 nominations total,"$2,502,551",7.0,79,"27,153",True,,2025-10-26T10:45:53.758873,2502551.0,0,0
tt0105236,Reservoir Dogs,1992,13 wins & 23 nominations total,"$2,832,029",8.3,81,"1,148,410",True,,2025-10-26T10:45:54.174510,2832029.0,0,0
tt0105378,Shadows and Fog,1991,1 win & 2 nominations total,"$2,735,731",6.7,N/A,"18,657",True,,2025-10-26T10:45:54.623612,2735731.0,0,0
tt0105399,Twin Dragons,1992,1 nomination total,"$8,359,717",6.4,54,"13,492",True,,2025-10-26T10:45:55.127558,8359717.0,0,0
tt0105526,The Taking of Beverly Hills,1991,N/A,"$939,277",5.1,N/A,"1,419",True,,2025-10-26T10:45:55.586994,939277.0,0,0
tt0105793,Wayne's World,1992,4 wins & 5 nominations total,"$121,697,323",7.0,57,"178,076",True,,2025-10-26T10:45:56.065521,121697323.0,0,0
